Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
M,Granit Xhaka (14790065),Granit Xhaka,14790065,FLEX,4400,ARS vs MCI 02:45PM ET,ARS,4.27
D,Cedric Soares (14790066),Cedric Soares,14790066,FLEX,4200,ARS vs MCI 02:45PM ET,ARS,1.58
D,Aymeric Laporte (14790067),Aymeric Laporte,14790067,FLEX,4200,ARS vs MCI 02:45PM ET,MCI,8.28
D,Hector Bellerin (14790068),Hector Bellerin,14790068,FLEX,4000,ARS vs MCI 02:45PM ET,ARS,2.26
GK,Emiliano Martinez (14790069),Emiliano Martinez,14790069,FLEX,4000,ARS vs MCI 02:45PM ET,ARS,12.48
GK,Bernd Leno (14790070),Bernd Leno,14790070,FLEX,3800,ARS vs MCI 02:45PM ET,ARS,0
GK,Matt Macey (14790071),Matt Macey,14790071,FLEX,3800,ARS vs MCI 02:45PM ET,ARS,0
D,Ainsley Maitland-Niles (14790072),Ainsley Maitland-Niles,14790072,FLEX,3800,ARS vs MCI 02:45PM ET,ARS,1.78
D,Calum Chambers (14790073),Calum Chambers,14790073,FLEX,3800,ARS vs MCI 02:45PM ET,ARS,0
M,Tommy Doyle (14790074),Tommy Doyle,14790074,FLEX,3600,ARS vs MCI 02:45PM ET,MCI,0
D, Fernandinho (14790075), Fernandinho,14790075,FLEX,3600,ARS vs MCI 02:45PM ET,MCI,0
D,David Luiz (14790076),David Luiz,14790076,FLEX,3600,ARS vs MCI 02:45PM ET,ARS,6.75
D,Pablo Mari (14790077),Pablo Mari,14790077,FLEX,3600,ARS vs MCI 02:45PM ET,ARS,6.52
M,Adrian Bernabe (14790078),Adrian Bernabe,14790078,FLEX,3400,ARS vs MCI 02:45PM ET,MCI,0
D,John Stones (14790079),John Stones,14790079,FLEX,3400,ARS vs MCI 02:45PM ET,MCI,5.49
D,Shkodran Mustafi (14790080),Shkodran Mustafi,14790080,FLEX,3400,ARS vs MCI 02:45PM ET,ARS,2.82
D, Sokratis (14790081), Sokratis,14790081,FLEX,3400,ARS vs MCI 02:45PM ET,ARS,7.21
M,Matteo Guendouzi (14790082),Matteo Guendouzi,14790082,FLEX,3200,ARS vs MCI 02:45PM ET,ARS,4.59
D,Sead Kolasinac (14790083),Sead Kolasinac,14790083,FLEX,3200,ARS vs MCI 02:45PM ET,ARS,1.71
D,Eric Garcia (14790084),Eric Garcia,14790084,FLEX,3200,ARS vs MCI 02:45PM ET,MCI,7.24
D,Alpha Richard Dionkou (14790085),Alpha Richard Dionkou,14790085,FLEX,3200,ARS vs MCI 02:45PM ET,MCI,0
D,Rob Holding (14790086),Rob Holding,14790086,FLEX,3000,ARS vs MCI 02:45PM ET,ARS,2.75
D,Tolaji Bola (14790087),Tolaji Bola,14790087,FLEX,3000,ARS vs MCI 02:45PM ET,ARS,0
M,Robbie Burton (14790088),Robbie Burton,14790088,FLEX,3000,ARS vs MCI 02:45PM ET,ARS,0
M,Joseph Willock (14790089),Joseph Willock,14790089,FLEX,3000,ARS vs MCI 02:45PM ET,ARS,4.2
D,Zech Medley (14790090),Zech Medley,14790090,FLEX,3000,ARS vs MCI 02:45PM ET,ARS,0
